50,52,50,51,12,12,11,10,10,10,2,2,2,2,2,2,2,2,2,2
60,71,50,51,49,51,12,13,13,11,12,12,2,2,2,2,2,2,2,2
59,64,60,71,51,50,51,51,11,14,13,14,15,17,2,2,2,2,2,2
64,64,71,71,62,71,54,49,54,54,13,16,16,14,15,17,2,2,2,2
49,49,61,65,71,71,71,60,54,54,50,50,16,14,17,15,13,11,2,2
49,54,49,54,65,65,29,29,29,30,55,50,55,56,14,12,14,11,11,12
13,13,50,51,51,51,69,60,29,30,30,58,49,56,55,50,12,10,10,12
11,11,13,14,50,50,51,51,60,58,30,31,31,31,55,54,49,51,10,12
11,12,12,15,16,16,51,52,51,52,31,62,31,61,30,30,49,51,49,50
1,1,12,16,17,12,16,15,51,52,51,55,31,30,30,59,29,29,51,49
1,1,1,1,16,13,16,15,16,16,49,55,50,56,30,29,29,64,61,60
1,1,1,1,1,1,12,15,15,16,14,14,56,54,55,56,64,64,29,29
1,1,1,1,1,1,1,1,17,17,17,14,16,13,55,55,55,54,85,61
1,1,1,1,1,1,1,1,1,1,16,16,11,12,12,13,54,54,55,54
